Дата,Тикер,Прогноз
2024-01-11 22:27:48,SMCI,332.6445007324219
2024-01-11 22:13:07,CSCO,50.37461471557617
2024-01-11 21:30:37,DBX,29.875789642333984
2024-01-11 21:19:43,TSLA,234.4057159423828
2024-01-11 20:58:07,QCOM,138.6690673828125
2024-01-11 20:56:09,IQ,4.434675693511963
2024-01-11 20:55:58,TSLA,233.89376831054688
2024-01-11 20:55:40,TSLA,233.46929931640625
2024-01-11 20:53:34,ADBE,577.8605346679688
2024-01-11 20:47:45,TSLA,234.3358764648437
2024-01-11 20:45:50,TSLA,237.0710601806641
2024-01-11 20:39:47,TSLA,233.17987060546875
2024-01-11 20:35:55,TSLA,231.79786682128903
2024-01-11 20:28:13,TSLA,232.32833862304688
2024-01-11 20:24:17,SMCI,341.5103454589844
2024-01-11 20:23:43,TSLA,233.0708923339844
2024-01-11 20:21:15,MSTR,574.562255859375
2024-01-11 20:21:00,SMCI,332.7593078613281
2024-01-11 20:19:59,TSLA,234.637451171875
2024-01-11 20:07:05,NVDA,542.6574096679688
2024-01-11 20:06:29,TSLA,233.55332946777344
2024-01-11 20:00:47,ADBE,594.5925903320312
2024-01-11 20:00:35,LTHM,6.688740253448486
2024-01-11 19:59:56,TSLA,230.8730316162109
2024-01-11 19:58:28,TSLA,233.2460479736328
2024-01-11 19:51:56,QCOM,136.9432373046875
2024-01-11 19:49:57,DOCU,55.73549270629883
2024-01-11 19:49:44,IQ,4.434630870819092
2024-01-11 19:49:26,CSCO,50.0218620300293
2024-01-11 19:49:16,TSLA,226.87844848632807
2024-01-11 19:48:01,NVDA,531.4278564453125
2024-01-11 19:47:50,TSLA,227.9732360839844
2024-01-11 19:47:37,LTHM,6.325290679931641
2024-01-11 19:42:32,TSLA,6.25808048248291
2024-01-11 19:42:24,LTHM,6.124995231628418
2024-01-11 19:42:12,TSLA,6.384178161621094
2024-01-11 19:26:53,LTHM,86.92269134521484
2024-01-11 19:15:04,LTHM,103.47032165527344
2024-01-11 19:15:00,ADBE,549.2188110351562
2024-01-11 19:14:54,ORCL,118.16112518310548
2024-01-11 19:14:48,AMZN,163.8793182373047
2024-01-11 18:54:50,NVDA,501.5638732910156
2024-01-11 18:54:25,LTHM,104.99261474609376
2024-01-11 18:52:40,TSLA,235.911361694336
2024-01-11 18:52:01,TSLA,237.06399536132807
2024-01-11 18:51:55,VZ,103.11944580078124
2024-01-11 18:50:58,TSLA,240.5225524902344
2024-01-11 18:38:11,IQ,106.33799743652344
2024-01-11 18:38:06,ISRG,353.67999267578125
2024-01-11 18:37:53,ISRG,353.67999267578125
2024-01-11 18:37:48,FI,139.34262084960938
2024-01-11 18:37:42,FI,139.34262084960938
2024-01-11 18:37:36,DOCU,102.19676971435548
2024-01-11 18:37:30,DBX,104.02151489257812
2024-01-11 18:37:25,RXT,105.83605194091795
2024-01-11 18:37:21,EBAY,103.16862487792967
2024-01-11 18:37:17,QCOM,141.9793243408203
2024-01-11 18:37:12,PYPL,102.6360321044922
2024-01-11 18:37:08,NFLX,464.2242126464844
2024-01-11 18:37:04,CRM,262.2503662109375
2024-01-11 18:37:00,SAP,157.4700927734375
2024-01-11 18:36:53,ADBE,571.2473754882812
2024-01-11 18:36:48,ORCL,111.8897476196289
2024-01-11 18:36:40,AMZN,153.1900177001953
2024-01-11 18:36:35,CSCO,103.9669189453125
2024-01-11 18:36:30,GOOG,144.72108459472656
2024-01-11 18:36:25,HPQ,104.29014587402344
2024-01-11 18:36:18,DELL,100.55551147460938
2024-01-11 18:36:10,MSFT,376.0050354003906
2024-01-11 18:36:06,IBM,162.38534545898438
2024-01-11 18:36:01,MSTR,545.1979370117188
2024-01-11 18:35:57,SMCI,333.5635681152344
2024-01-11 18:35:53,VZ,104.6535415649414
2024-01-11 18:35:36,LTHM,107.509765625
2024-01-11 18:35:26,INTC,105.92977905273438
2024-01-11 18:35:17,AAPL,185.2642059326172
2024-01-11 18:35:12,NVDA,528.8945922851562
2024-01-11 18:35:09,AMD,147.6038818359375
2024-01-11 18:34:51,TSLA,233.4967041015625
2024-01-11 18:20:26,TSLA,236.4436798095703
2024-01-10 21:29:16,TSLA,242.64686584472656
2024-01-10 21:25:33,ISRG,331.8367004394531
2024-01-10 21:23:56,SAP,160.79356384277344
2024-01-10 21:23:54,ADBE,534.4525756835938
2024-01-10 21:22:33,ORCL,116.00171661376952
2024-01-10 21:22:30,FI,145.63461303710938
2024-01-10 21:22:26,FI,145.63461303710938
2024-01-10 21:22:21,INTC,92.49490356445312
2024-01-10 21:22:01,NVDA,449.3450317382813
2024-01-10 21:21:58,NVDA,449.3450317382813
2024-01-10 21:21:51,NVDA,449.3450317382813
2024-01-10 21:21:50,NVDA,449.3450317382813
2024-01-10 21:21:47,NVDA,449.3450317382813
2024-01-10 21:21:45,NVDA,449.3450317382813
2024-01-10 21:21:42,NVDA,449.3450317382813
2024-01-10 21:21:39,NVDA,449.3450317382813
2024-01-10 21:21:36,NVDA,449.3450317382813
2024-01-10 21:21:33,SMCI,276.0914306640625
2024-01-10 21:21:30,NVDA,449.3450317382813
2024-01-10 21:21:24,ORCL,116.00171661376952
2024-01-10 21:21:22,MSFT,356.0396728515625
2024-01-10 21:21:09,MSFT,356.0396728515625
2024-01-10 21:21:06,NFLX,443.14166259765625
2024-01-10 21:21:03,DBX,83.98538970947266
2024-01-10 21:20:58,ADBE,534.4525756835938
2024-01-10 21:20:48,IQ,77.14300537109375
2024-01-10 21:20:45,IQ,77.14300537109375
2024-01-10 21:20:37,FI,145.63461303710938
2024-01-10 21:20:34,ISRG,315.43243408203125
2024-01-10 21:20:27,ADBE,534.4525756835938
